Nama Franchise,Modal Minimal,Kategori Franchise,Franchise Fee,Nama Perusahaan,Biaya Royalti,Berdiri Sejak,Biaya Advertising,Jumlah Gerai,Alamat,Contact Person,Nomor WA,Telepon,Fax,Email,Website
Ayam Koplo,Rp (Please Call),Makanan & Minuman,,PT. Modular Kuliner ,,2019.0,,41.0,"Ruko Graha Arteri, Unit 36-37. Jalan Panjang no 36, Kedoya Selatan Kebon Jeruk, Jakarta Barat ",Ayam Koplo ,+6281808455668  (Klik nomor untuk chat via WA),Marketing Franchise : - Martha : +62 812 6640 6532 - Marissa : +62 818 0845 5668 - Riza : +62 812 8519 1127 , ,partnership@ishangry.com,-
Ayam Legit,Rp 40.000.000,Makanan & Minuman,-,Ayam Legit ,-,2019.0,-,10.0,"Gajahmada Tower Lt. 17, Jakarta Pusat ",Ayam Legit ,+6282250001421  (Klik nomor untuk chat via WA),0822 5000 1421 , ,kulineranakindonesia@gmail.com,-
Ayam Monyet,Rp 250.000.000,Makanan & Minuman,-,Ayam Monyet ,-,2012.0,-,9.0,"Jl. Pangkalan Jati No 1 Pondok Labu, Jakarta Selatan   ",Ayam Monyet ,+6285692916468  (Klik nomor untuk chat via WA),Hp : 0856 9291 6468 0812 8358 9767 , ,-,-
Ayam Ngamok,Rp 50.000.000,Makanan & Minuman,0,Simerah Berkah ,0,2017.0,0,6.0,jalan mertojoyo selatan no 8 Malang ,081233660022 ,+6281233660022  (Klik nomor untuk chat via WA),081233660022 , ,ekasimerah@gmail.com,-
Ayam Ngemper,Rp 45.000.000,Makanan & Minuman,-,Idea Corp ,-,2019.0,-,5.0,"Jl. Kebon Raya no.9 Duri Kepa, Kebun Jeruk, Jakarta Barat ",Ayam Ngemper ,+6281919788877  (Klik nomor untuk chat via WA),0822 6000 6708 0819 1978 8877 , ,sekretarisidea@gmail.com,-
Ayam Rempah Sarawa,Rp 20.000.000,Makanan & Minuman,-,Ayam Rempah Sarawa ,-,2020.0,-,1.0,"Jl. H. Damanhuri, Barabai, Kab. Hulu Sungai Tengah Provinsi Kalimantan Selatan ",Agus Budiman ,+6282255334039  (Klik nomor untuk chat via WA),082255334039 , ,ayamrempahsarawa@gmail.com,Klik : https://www.instagram.com/ayamrempahsarawa
Ayam Selebriti,Rp 15.000.000,Makanan & Minuman,"Rp 15.000.000,-",Ayam Selebriti Group ,"Rp 1.000.000,-",2017.0,"Rp 750.000,- (tidak wajib)",4.0,"Ruko Intercon Megah blok W 3 No .17 Srengseng, Kembangan, Jakarta Barat ",Ayam Selebriti ,+628111118211  (Klik nomor untuk chat via WA),021 - 5860 248  0811 111 821 , ,ayamselebriti@gmail.com,Klik : http://www.ayamselebriti.com
Ayam Setan,Rp 18.000.000,Makanan & Minuman,FREE,Ayam Setan ,FREE,2017.0,5%,5.0,Apartemen Mediterania 1 - Jakarta Barat ,Jonny Andrean ,+628179987988  (Klik nomor untuk chat via WA),08179987988 , ,ayamsetan.id@gmail.com,Klik : http://instagram.com/ayamsetan.id
Ayam Strong,Rp 36.400.000,Makanan & Minuman,-,PT Berkah Pangan Sejahtera ,-,2016.0,-,40.0,Jln Parapat C7 No 6 Jaticempaka Pondok Gede 17411 ,Ayam Strong ,+6282123208202  (Klik nomor untuk chat via WA),0821 2320 8202 0822 1000 0062 , ,ayamstrongid@gmail.com,Klik : http://www.ayamstrong.com
Ayo Toast,Rp 2.999.000,Makanan & Minuman,-,CV ESCORP MUDA BERKREASI ,-,2020.0,-,85.0,"Perumahan Kampung Semawis Blok P No.26. Jln. Gambang semarang II. Kedungmundu, Tembalang, semarang 50273  ",Ayo Toast ,+6285799773777  (Klik nomor untuk chat via WA),Hp : 0821 3358 8885  Hp : 0857 9977 3777(Marketing) , ,escorpindonesia@gmail,-
Bakmi Naga Resto,Rp 95.000.000,Makanan & Minuman,-,PT. NAGA JAYA SEJAHTERA INDONESIA ,-,1979.0,-,30.0,"Komplek Kelapa Gading Trade Center Blok A3 & A5 Jl. Raya Boulevard Barat, Kelapa Gading - Jakarta Utara 14240 ",Bakmi Naga Resto ,+6282216244238  (Klik nomor untuk chat via WA),(021) 4585 8927  (021) 4585 8928  (021) 4585 8929 HP : 0816 1880 092  0851 0578 9688  , ,susantywidjaya@nagaresto.com,Klik : http://www.bakminagaresto.com
bakoel tea,Rp 7.500.000,Makanan & Minuman,-,PT robert group abadi ,-,2021.0,-,3.0,"Jl Palakali No 47 Kukusan , Beji , Depok ",bakoel tea ,+628972707090  (Klik nomor untuk chat via WA),Hp : 08972707090 , ,bakoelteaindonesia@gmail.com,-
Bakpia Bro kiss (Pia Crispy),Rp 1.000.000,Makanan & Minuman,-, ,-,2018.0,-,4.0,Jl Terban No 38 Yogyakarta 55223  Jl. Cik Ditiro No.38 ,Bakpia Bro Kiss Jogja ,+6281393718916  (Klik nomor untuk chat via WA),Hp : 0813 9371 8916  +62819 9223 0788 , ,bakpiabrokiss@yahoo.com,Klik : http://www.instagram.com/brokissjogja/
Bakso Abang Kita,Rp 50.000.000,Makanan & Minuman,-,PT.Pangan Unggul Sentosa ,-,2020.0,-,,"Jl. Sulawesi 13, Madiun, Jawa timur ",Bakso Abang Kita ,+6282245056212  (Klik nomor untuk chat via WA),Hp : 082245056212 , ,mitraboksabakso@gmail.com,-
Bakso Agung,Rp 99.000.000,Makanan & Minuman,-,Bakso Agung ,-,1995.0,-,7.0,"Jalan Dokter Wahidin No.86a, RT.6/RW.11, Jatingaleh, Candisari, Kota Semarang, Jawa Tengah 50254, Indonesia ",Bakso Agung ,+6285786746266  (Klik nomor untuk chat via WA),Hp : 0857 8674 6266 , ,hello@baksoagung.com,Klik : https://baksoagung.com
Bakso Bakar Maknyoosee,Rp 7.500.000,Makanan & Minuman,,Bakso Bakar Maknyoosee ,,2014.0,,94.0,"Jl. Jati Mataram No. 71 RT 04 RW 028, Kutudukuh, Sinduadi, Mlati, Sleman, Yogyakarta 55284 ",Rendy Hendra Purnama ,+6285729421739  (Klik nomor untuk chat via WA),Hp : 0857 2942 1739 Office :(0274) 501 8156 , ,baksobakarmaknyoosee@gmail.com,-
Bakso Batok Bang Toyib & Es Tetok,Rp 35.000.000,Makanan & Minuman,-,Bakso Batok & Es Tetok ,-,2009.0,-,47.0,komp.PLN cigereleng Bandung ,Bakso Batok & Es Tetok ,+6282115107775  (Klik nomor untuk chat via WA),Hp : 0821 1510 7775 , ,mohammad_toip@yahoo.com,-
Bakso Boedjangan,Rp 3.000.000.000,Makanan & Minuman,,Bakso Boedjangan ,,2015.0,,120.0,"Setiabudi Atrium, RT.18/RW.2, Kuningan, Kecamatan Setiabudi, Jakarta Selatan ",Bakso Boedjangan ,+6281222277800  (Klik nomor untuk chat via WA),081222277800 , ,kemitraan@citarasaprima.com,Klik : https://www.baksoboedjangan.com
Bakso Cak Masrur,Rp 50.000.000,Makanan & Minuman,50 % dari Rp 50.000.000,Bakso Cak Masrur ,,2005.0,Menyesuaikan,42.0,"Ngabean kulon no 147 rt 1 rw 34 sinduharjo ngaglik sleman, DIY ",Bakso Cak Masrur ,+6285743256976  (Klik nomor untuk chat via WA),0811 254 258  0817 383 322 , ,cakmasrur13@gmail.com,-
Bakso Gurita Kang Joni,Rp 20.000.000,Makanan & Minuman,-,Bakso Gurita Kang Joni ,-,2019.0,-,3.0,Tentara pelajar 84 merican & Peleburan barat no 3C ,Bakso Gurita Kang Joni ,+6287832795165  (Klik nomor untuk chat via WA),0878 3279 5165 (Firdaus) 0878 3107 2946 , ,-,-
Bakso Jejak Rasa,Rp 15.000.000,Makanan & Minuman,, ,,2019.0,,3.0,"Jl. Jembatan Merah IV No. 251, Cepit Baru Gejayan Yogyakarta ",Bakso Jejak Rasa ,+6281328446185  (Klik nomor untuk chat via WA),Hp / WA : 0813 2844 6185 , ,baksokampungqu@gmail.com,-
Bakso KampungQu,Rp 27.000.000,Makanan & Minuman,-,Bakso KampungQu ,-,2014.0,-,90.0,"Jl. Jembatan Merah IV No. 251, Cepit Baru Gejayan Yogyakarta ",Bakso KampungQu ,+6281328446185  (Klik nomor untuk chat via WA),Hp / WA : 0813 2844 6185 , ,baksokampungqu@gmail.com,Klik : http://baksokampungqu.com
Bakso Kemon,Rp 650.000.000,Makanan & Minuman,, ,,2017.0,,8.0,Bakso Kemon Tebet Jl Tebet Utara Dalam no 12 Jakarta Selatan ,Bakso Kemon ,+6287840027985  (Klik nomor untuk chat via WA),0878 4002 7985  021-8273 1479  0815 6123 456 , ,info.baksokemon@gmail.com,Klik : http://baksokemon.com
Bakso Malang Ijen,Rp (Please Call),Makanan & Minuman,-,Bakso Malang Ijen ,-,2019.0,-,1.0,"Ruko Primrose VII A1/20 Galuh Mas, Sirnabaya, Pasir Jaya, Puseurjaya, Telukjambe Timur, Puseurjaya, Kec. Telukjambe Tim., Kabupaten Karawang, Jawa Barat 41361 ",Bakso Malang Ijen ,+6281380402939  (Klik nomor untuk chat via WA),0813 8040 2939 , ,baksomalangijen@gmail.com,-
Bakso Sapi'i,Rp (Please Call),Makanan & Minuman,-,Bakso Sapi'i ,-,2019.0,-,12.0,Jl. Percetakan negara 2 no. 19 Johar Baru - Jakarta Pusat ,Bakso Sapi'i ,+6281312346601  (Klik nomor untuk chat via WA),0813 1234 6601 0812 18 111 222 , ,-,Klik : https://baksosapii.com/
Baksotopia,Rp 50.000.000,Makanan & Minuman,5 Juta,PT. IndoSterling Boga Trada ,5%,2018.0,,10.0,"Senayan Trade Center 4th Floor, Suite 83-85 Jl. Asia Afrika, Pintu IX Kel. Gelora Kec. Tanah Abang Jakarta Pusat ",081380001858 ,+6281380001858  (Klik nomor untuk chat via WA),Hp :0813 8000 1858 , ,Nancy.laura@boga.indosterling.com,Klik : https://baksotopia.com
Bakso Wong Djojo,Rp 19.900.000,Makanan & Minuman,-,Bakso Wong Djojo ,-,2012.0,-,35.0,"Green Lake City, Ruko New Castle Blok A No. 52 Jl. Kresek Raya, Kel Duri Kosambi, Cengkareng, Jakarta Barat ",Bakso Wong Djojo ,+6287882678989  (Klik nomor untuk chat via WA),0878 8267 8989 , ,baksowongdjojo@gmail.com,-
BAKWAN DAY!,Rp 25.000.000,Makanan & Minuman,Rp 21.500.000 dari Rp 25.000.000,PT OTEWE MAJU BERSAMA ,,2020.0,,80.0,"Jl. Raya Klp. Kopyor CE2 No.12A, RT.1/RW.2, East Kelapa Gading, Kelapa Gading, North Jakarta City, Jakarta 14240 ",BAKWAN DAY! ,+6281385721934  (Klik nomor untuk chat via WA),Telp Kantor :(021) 45857781  No. Whatsapp : 0812 1161 5212 (Indra)  Telp Marketing Franchise : 081385721934 (Bang Wawan)  Email Perusahaan : otwgading@gmail.com dan indcahyadi.omb@gmail.com  Instagram : @bakwanday Tiktok : @bakwanday   , ,otwgading@gmail.com,Klik : http://bakwanday.co.id
BALCON (Bebek Ayam Lele Corner),Rp 189.000.000,Makanan & Minuman,,CV DOVINDO MULTI CIPTA ,,2010.0,,4.0,Jl. Dayung 2 no.8. Kelapa Dua Gading Serpong ,Selvie / 087777 11 2000 ,+628161862010  (Klik nomor untuk chat via WA),* 085782000774  * 087777112000  * 085782000774  * 08161862010 ,0217220215 ,balconindonesia@yahoo.com,Klik : http://www.balconindonesia.com
Bamboo Laundry,Rp 14.900.000,Laundry & Jasa Kebersihan,-,CV. RPTF ,-,2013.0,-,5.0,Jl astana anyar no 12 bandung ,Bamboo Laundry ,+6281910002040  (Klik nomor untuk chat via WA),Hp : 081910002040 , ,laundrybamboo@gmail.com,-
Bambu Spa,Rp (Please Call),Kesehatan & Kecantikan,-,PT. Louise And Chelsea Indonesia ,-,2008.0,-,19.0,"Ruko Mutiara Taman Palem Blok A15 No.3, Cengkareng - Jakarta Barat 11730 ",Bambu Spa ,+6281294282880  (Klik nomor untuk chat via WA),Phone : (021)54350798  Hp : 0812 9428 2880 , ,bambuspaindonesia@gmail.com,Klik : http://www.bambuspa.co.id
Bandung Donat Yogurt,Rp 50.000.000,Makanan & Minuman,-,Bandung Donat Yogurt ,-,2014.0,-,14.0,"Taman Cibaduyut Indah E 160, Bandung, Jawa Barat (402339) ",Sukwoto G ,+628112211469  (Klik nomor untuk chat via WA),Hp: 08112211469 Kantor: 022-5410032 ,022-5410032 ,sukwoto@bdg.centrin.net.id,Klik : http://www.bandungdonatyogurt.com
BARBERPEDIA,Rp 100.000.000,Kesehatan & Kecantikan,-,PT Sukses Jaya Indotama ,-,2015.0,-,10.0,"Jl. Gereja Ayam Sebelah Metro Atom No.11, RT.1/RW.3, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710 ",BARBERPEDIA ,+6281311890085  (Klik nomor untuk chat via WA),Hp : 081311890085 Kantor : 021 22347422 , ,ilhamizzuddin99@gmail.com,Klik : http://Barberpedia.co.id
Baso Aci Akang,Rp (Please Call),Makanan & Minuman,,Baso Aci Akang ,,2018.0,,80.0,"Jl. Zam Zam Raya No.12 Klp. Dua, Kec. Klp. Dua Tangerang Banten 15810 Indonesia ",Baso Aci Akang ,+6281112100120  (Klik nomor untuk chat via WA),0811 1210 0120 , ,basoaciakang.info@gmail.com,Klik : https://basoaciakang.com
BASO ACI JUARA,Rp 75.000.000,Makanan & Minuman,,PT. JUARA BERKAH MANDIRI ,,2018.0,,123.0,"Jl. Bend. Jatiluhur no. 83, Bendungan Hilir, Jakarta Pusat ",BASO ACI JUARA ,+6281287699002  (Klik nomor untuk chat via WA),085 74149 6363 (Hilman)  0812 8769 9002 (Meli)  0897 1354 111 (Ibel) , ,nurhilman.tsani@gmail.com,Klik : http://www.basoacijuara.com
Bata,Rp 300.000.000,Retail,-,PT. Sepatu Bata Tbk ,-,1894.0,-,500.0,"Jl RA Kartini Kav 28, Cilandak Barat, Jakarta Selatan ",Unggul ,+6285640084443  (Klik nomor untuk chat via WA),021 7505353  Hp : 0856 4008 4443 , ,unggul.nuswantoro@bata.com,Klik : https://www.bata.id
Batavia Dimsum,Rp 4.200.000,Makanan & Minuman,0,Batavia ,0,2015.0,0,11.0,"Jl. Bekasi Timur II No.8, RT.17/RW.4, Rw. Bunga, Kecamatan Jatinegara, DKI Jakarta, Daerah Khusus Ibukota Jakarta 13350 ",083169891147 ,+6283169891147  (Klik nomor untuk chat via WA),083169891147 , ,bfrozen06@gmail.com,Klik : http://www.bataviadimsum.com
Bebek Cak Kholiq,Rp 50.000.000,Makanan & Minuman,Rp 40.000.000,Bebek Cak Kholiq ,2 % dari omzet penjualan,2009.0,-,3.0,Jl. Nusupan No. 1 Trihanggo kec. Gamping Sleman - Yogyakarta  ,Bebek Cak Kholiq ,+6281999778800  (Klik nomor untuk chat via WA),Hp : 0819 9977 8800  Hp : 0819 9350 0600 , ,cakkholiqgrup@gmail.com,-
BEBEK KANOMAN,Rp 250.000.000,Makanan & Minuman,30 % dari HARGA FRANCHISE,PT. JAVAPUCCINO ,5 % dari OMSET KOTOR PER BULAN,2016.0,,5.0,"TERAS RIMBUN, JLN JAMBORE NO 5 CIBUBUR JAKTIM ",Customer Service ,+6281223164326  (Klik nomor untuk chat via WA),0812 2316 4326  +62815 1077 3275   02174717858  https://www.instagram.com/bebekkanoman/ , ,BKANOMAN@YAHOO.CO.ID,-
Bebek Kepahiang Babase,Rp 1.200.000.000,Makanan & Minuman,630000000,Epicultura ,8%,2017.0,-,19.0,"Jl. Bendungan Hilir No.118, RT.13/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210 ",Bebek Kepahiang Babase ,+6281802527511  (Klik nomor untuk chat via WA),Hp : +6281802527511 Hp : +6281219580732 Kantor : (021) 22958359   , ,kemitraan@epicultura.com,Klik : https://bebekbkb.com
Bebek Pak Joss,Rp (Please Call),Makanan & Minuman,,Joss Industries ,,2011.0,,10.0,"Surabaya, Jawa Timur ",Bebek Pak Joss ,+6289677649130  (Klik nomor untuk chat via WA),0896 7764 9130 , ,bebekpakjoss@gmail.com,Klik : https://jossindustries.com/bebek-pak-joss/
Bebek Sambalado,Rp 99.000.000,Makanan & Minuman,-,Mamena Food ,-,2018.0,-,24.0,"Jl. Assyafi'iyah No. 1 RT 03/03 Kel. Cilangkap, Kec. Cipayung, Kota Jakarta Timur, DKI Jakarta ",Bebek Sambalado ,+6281387021171  (Klik nomor untuk chat via WA),0813 8702 1171 , ,sambalado@email.com,-
Bee-Bon,Rp 85.000.000,Makanan & Minuman,Rp 30.000.000,Bee-Bon ,5%,2019.0,-,4.0,"Ruko Paskal Hyper Square Blok A52, Bandung, Jawa Barat ",Bee-Bon ,+628112256662  (Klik nomor untuk chat via WA),08112256662 , ,beebonindonesia@gmail.com,-
Bengkel BOS,Rp 1.500.000.000,Otomotif,"Rp 250.000.00,-",PT. Penta Artha Impressi ,2%,2011.0,"0,5%",29.0,"Wisma Achilles, Jl. Panjang no.29, Kedoya Selatan, Kebon Jeruk, Jakbar, DKI Jakarta ",Dickson Kowandi ,+6287825129505  (Klik nomor untuk chat via WA),0878 2512 9505 , ,franchise@impressive.co.id,Klik : http://bengkelbos.co.id
Berikan Kopi,Rp 108.000.000,Makanan & Minuman,25.000.000,CV Berikan Kopi Indonesia ,1.000.000 per outlet,2019.0,,2.0,Jl solo tawangmangu km 8 sukoharjo jawa tengah indonesia ,Berikan Kopi ,+6281804168888  (Klik nomor untuk chat via WA),0271827799  , ,info@berikankopi.com,Klik : http://www.berikankopi.com
Bestea Indonesia,Rp 7.100.000,Kesehatan & Kecantikan,0,Bestea Indonesia ,0,2014.0,0,45.0,Pury Dander Asri G24 Bojonegoro ,Bestea Indonesia ,+6281331305041  (Klik nomor untuk chat via WA),0852 3191 2279 suyanto  0815 1511 1634 Arief  0821 4318 5088 Ida , ,Samaptafood@yahoo.co.id,Klik : http://besteaindonesia.com/
Best Meat Point,Rp 1.500.000,Retail,-,Pt. Proteindotama Cipta Pangan ,-,2020.0,-,1530.0,"Jl. Raya Km 2 Desa Waruberon, Balongbendo, Krian, Sidoarjo   ",Best Meat Point ,+628111229488  (Klik nomor untuk chat via WA),Hp : 0811 1029 488  Tlp : 031 8986 288   , ,bestmeatpoint@gmail.com,-
BFC DUO,Rp 65.000.000,Makanan & Minuman,Rp 5.000.000,PT. CIPTA ANEKA SELERA ,-,2017.0,-,127.0,Ruko center point kav A1 kemangsen krian-SIDOARJO ,BFC DUO ,+6281289588080  (Klik nomor untuk chat via WA),Hp : 0812 8958 8080 Tlp: (031) 898 5522 , ,achaaluwi@gmail.com,-
BING,Rp 500.000.000,Makanan & Minuman,0,Bing Ice Crystal ,0,2018.0,0,1.0,"jl. dr sutomo gg.karya 2 no.27 kota baru, Pontianak ",Bing Ice Crystal ,+6281254251118  (Klik nomor untuk chat via WA),0812 5425 1118 , ,bingicecrystal@gmail.com,Klik : http://bingicecrystal.com
Bintang Baca,Rp 10.000.000,Jasa Pendidikan & Pelatihan,,Bintang Baca ,,2009.0,,9.0,Jl.KH. Mas Mansyur Kav 35 Jakarta Pusat ,Bintang Baca ,+6281283452235  (Klik nomor untuk chat via WA),0812 8345 2235 , ,bintangbaca@gmail.com,Klik : http://www.bintangbaca.com
Bioskop Mini 3D goes to School,Rp 35.000.000,Jasa Pendidikan & Pelatihan,0,Bioskop Mini 3d Goes to School & Cinema 4D/5D ,0,2011.0,0,107.0,Perumahan Firdaus Mansion Blok M 1 Jombang jatim ,Entrepreneur Wahyu Wardhana ,+6282332889367  (Klik nomor untuk chat via WA),Telp/WA : 0823 3288 9367 , ,Bioskop3D@gmail.com,Klik : http://www.BioskopMini3D.com
Black Kebab,Rp 20.000.000,Makanan & Minuman,-,Black Kebab ,-,2015.0,-,135.0,No.81 Jl. Suryowijayan Gedongkiwo Mantrijeron Kota Yogyakarta Daerah Istimewa Yogyakarta 55142 ,Black Kebab ,+6287890000957  (Klik nomor untuk chat via WA),0878 90000 957 0817 460 378  , ,black_kebab@yahoo.co.id,Klik : https://blackkebab.com
Blacklist Window Film,Rp 49.000.000,Otomotif,-,MAKKO Group ,-,2014.0,-,15.0,"Pergudangan Surya Kadu, Blok H No.9 Kel. Kadu, Kec. Curug ",Blacklist Window Film ,+628128800090  (Klik nomor untuk chat via WA),Tlp : (021)29438375  Hp : 0812-8800-090 , ,-,Klik : http://blacklist-windowfilm.com/
BLACK WHITE CLEANER,Rp 50.000.000,Laundry & Jasa Kebersihan,Rp 7.000.000,BLACK WHITE CLEANER ,7%,2014.0,5%,7.0,"jalan indrayasa,mekarwangi bandung no 88 ",081388960719 ,+6281388960719  (Klik nomor untuk chat via WA),0813 8896 0719 ,- ,Robertuscandra9@gmail.com,-
BobaBus,Rp 6.900.000,Makanan & Minuman,"6,9 Juta",PT. PLAZA KULINER INDONESIA ,GRATIS,2018.0,GRATIS,17.0,"Jl Pakel No 58 Sumber RT 004/ RW 009, Kecamatan Banjarsari Surakarta ",Shela ,+628112953458  (Klik nomor untuk chat via WA),Telp Kantor : 02717461025 Marketing : 0811 2953 458 , ,plazakulinerofficial@gmail.com,-
Bobaho Tea,Rp 9.700.000,Makanan & Minuman,-,Rachacha ,-,2019.0,-,3.0,"Jalan Merak, Waringin Rejo, Cemani, Grogol, Sukoharjo, Jawa Tengah  ",Bobaho Tea ,+6282249957070  (Klik nomor untuk chat via WA),Hp : 082249957070 , ,official.bobaho@gmail.com,-
Bobal,Rp 90.000.000,Makanan & Minuman,Rp 55.000.000,Ow My Group ,-,2019.0,-,63.0,"Jl. Joglo Raya No. 28 Srengseng, Jakarta ",Bobal ,+6287781107588  (Klik nomor untuk chat via WA),Hp : 0815 1434 2412 Hp : 0877 8110 7588 , ,bobal.indonesia@gmail.com,-
Boba Pan,Rp 19.000.000,Makanan & Minuman,0,Makko Group ,0,2018.0,,30.0,"Jl. Raya Marina Indah, Komplek Ruko Cordoba Blok E No. 6, Pantai Indah Kapuk (PIK) Jakarta Utara ",boba pan ,+6281314802492  (Klik nomor untuk chat via WA),62 21 2943 8375 0813 1480 2492 , ,bobapan.indo@gmail.com,-
Boba Shake,Rp 10.000.000,Makanan & Minuman,15000000,Selebriti Group ,1000000,2020.0,500000,2.0,Ruko Intercont megah blok w 3 no 17 Jl Raya Joglo Jakbar ,Boba Shake ,+628111118211  (Klik nomor untuk chat via WA),Hp : 08111118211 Hp : 081219540452 , ,bobateashake@gmail.com,-
BOBATALK,Rp 10.000.000,Makanan & Minuman,,BOBATALK ,,2020.0,,9.0,"JALAN AMD V, RT.006, RW. 010, PETUKANGAN UTARA, PESANGGRAHAN, KOTA JAKARTA SELATAN, DKI JAKARTA Kode Pos 12260 ",bobatalk ,+6281286668246  (Klik nomor untuk chat via WA),0812 8666 8246 , ,garcia@bobatalk.id,Klik : http://www.bobatalk.id
Boga Mang Oedin,Rp 528.889.000,Makanan & Minuman,0%,PT. Boga Mitra Oetama ,0%,1995.0,0,200.0,"Ruko Grand Palace Kemayoran, Benyamin Suaeb Blok B No.19, Kebun Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Indonesia 10630 ",Admin Boga Mang Oedin ,+6282289998450  (Klik nomor untuk chat via WA),0822 8999 8450  IG : www.instagram.com/bogamangoedin.official/ , ,bogamangoedin@gmail.com,Klik : http://www.bogamangoedin.id
BOKSA BAKSO,Rp 100.000.000,Makanan & Minuman,-,PT.Pangan Unggul Sentosa ,4%,2016.0,-,4.0,"Jl. Sulawesi 13, Madiun Jawa timur ",Ritha ,+6282245056212  (Klik nomor untuk chat via WA),Hp: 0822 4505 6212 , ,mitraboksabakso@gmail.com,Klik : http://www.boksabakso.com
Bombchic,Rp 4.800.000,Makanan & Minuman,,Bombchic Indonesia ,,2019.0,,100.0,"Jl. Nusa Indah IV No. 6 Ngringo, Jaten, Karanganyar. Jateng. ",Bombchic ,+6282324726155  (Klik nomor untuk chat via WA),HP : 082324726155  HP : 0898 2953 737 , ,bombchic01@gmail.com,-
Bonbon Pisang Nugget,Rp 50.000.000,Makanan & Minuman,Rp 65.000.000,Bonbon Factory ,,2017.0,,5.0,"bonbon pisang nugget Jl. Bethesda 4, Sario Kotabaru, Kec.Sario, Kota Manado, Sulawesi Utara ",081915645198 ,+6281915645198  (Klik nomor untuk chat via WA),081915645198 , ,rhdeathnote3@gmail.com,-
BongOBong,Rp 450.000.000,Makanan & Minuman,,PT Makan Minum Prima ,,2018.0,Rp 3.000.000,2.0,"Jl. Pesona Blunyah Regency B3, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta ",BongOBong ,+6289502244334  (Klik nomor untuk chat via WA),0896 9656 8931 0895 0224 4334 , ,bongobong.yk@gmail.com,-
Booba House by Ibnu Jamil,Rp 75.000.000,Makanan & Minuman,,PT Hitz Maju Berkahbahagia / Idea Corp ,,2019.0,,8.0,Jl Panglima Polim V No 26 Jakarta ,Booba Call Center ,+6281919080084  (Klik nomor untuk chat via WA),Admin 1 : 0819-2505-789 , ,booba.idn@gmail.com,-
Boros Boba & Coffee,Rp 60.000.000,Makanan & Minuman,-,Boros Boba & Coffee ,-,2019.0,-,3.0,Komplek DEPERLA Jln sambu no 8 RT 03/04 duren jaya bekasi timur 17111 ,Boros Boba & Coffee ,+6285959785651  (Klik nomor untuk chat via WA),Hp : 08128001184 , ,borosboba.official@gmail.com,-
Bosco Ice Blend,Rp 5.500.000,Makanan & Minuman,,BOSCO Drink ,,2017.0,,6.0,"Jl. Merak Rt 04 Rw 22 Waringinrejo, Cemani, Grogol, Sukoharjo ",Bosco Ice Blend ,+6281388154877  (Klik nomor untuk chat via WA),0813-8815-4877 , ,boscoiceblend@gmail.com,-
Boss Bobba,Rp 5.500.000,Makanan & Minuman,-,Boss Bobba Indonesia ,-,2020.0,-,3.0,"Jalan Merak RT 04 RW 22, Waringin Rejo, Cemani, Grogol, Sukoharjo, Jawa Tengah ",Boss Bobba ,+6282117574747  (Klik nomor untuk chat via WA),"Kantor : 0821 1757 4747  Jabodetabek, Jawa Barat, Banten: 0821 1757 4747 Jawa Tengah, DIY: 0821 1757 6767 Jawa Timur, Bali, NTT, NTB: 0821 1757 8787 Sumatera, Kalimantan, Maluku, Sulawesi, Papua: 0821 1757 9797 ", ,bobbaboss@outlook.com,Klik : http://bossbobba.com
BOTHIE BOBA,Rp 3.500.000,Makanan & Minuman,-, ,-,2019.0,-,165.0,Tiara Ardhi Blok AA.1 Jl.Melati V Rt.05 Rw.10 Purbayan - Baki - Sukoharjo ,BOTHIE BOBA ,+6281575112014  (Klik nomor untuk chat via WA),Hp : 0815 7511 2014  , ,bothieboba@gmail.com,-
Bubur Love Babies,Rp 3.500.000,Makanan & Minuman,-,Bubur Love Babies ,-,2010.0,-,5.0,"Jl. Cipinang Timur IV No.02, RrT.2/RW.2, Cipinang, Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta Jakarta 13240 ",Bubur Love Babies ,+6285772726363  (Klik nomor untuk chat via WA),Hp : 0857 7272 6363 , ,bubursehat@gmail.com,Klik : https://buburlovebabies.com/
BUNAYYA,Rp 8.000.000,Makanan & Minuman,-,CV.NIAGA INSAN KAMIL ,-,2013.0,-,45.0,jl Rawa semut raya no 13 margahayu bekasi timur ,syaifulloh ,+6282112832888  (Klik nomor untuk chat via WA),021-9380 9977  0821 1283 2888 ,- ,care.bunayya@gmail.com,-
Burger Bangor,Rp 59.000.000,Makanan & Minuman,-, ,-,2019.0,-,60.0,Jln ,Burger Bangor ,+6281387777150  (Klik nomor untuk chat via WA),Hp : 081387777150 , ,burgerbangor86@gmail.com,-
